prompt,label,source,note
Design an idempotency scheme for a payment API where the client may retry indefinitely and the network may reorder. Explain your key choice and its failure modes.,haiku,outcome,
Give me a one-sentence summary of the moon landing.,local,outcome,
Convert this to a list comprehension: a loop that squares even numbers from a list.,local,outcome,
"Analyze the trade-offs between an LSM tree and a B-tree for a write-heavy workload with occasional range scans, and say which you would pick and why.",haiku,outcome,
What is the difference between a list and a tuple in Python?,local,outcome,
Implement binary search over a sorted array and state its preconditions.,haiku,outcome,
"```sql
SELECT * FROM orders o JOIN users u ON o.user_id = u.id WHERE u.country = 'NO' ORDER BY o.created_at DESC LIMIT 20;
```
This query is slow on a large table. Walk through how you would diagnose it and what indexes you would consider, with reasoning for each.",haiku,outcome,
Spell 'necessary'.,local,outcome,
Explain why floating point arithmetic gives 0.1 + 0.2 != 0.3.,haiku,outcome,
"Explain why linearizability and serializability are different guarantees, and construct an example history that satisfies one but not the other.",haiku,outcome,
What is 17 times 23?,local,outcome,
Write a function that flattens an arbitrarily nested list without recursion.,local,outcome,
Design a system that deduplicates a stream of ten billion events per day with bounded memory. Justify your data structure and quantify the error you accept.,haiku,outcome,
Who was Ada Lovelace?,local,outcome,
Describe how a bloom filter works and what guarantee it does and does not give you.,haiku,outcome,
"Prove that a bloom filter has no false negatives, then derive the false positive rate as a function of size and hash count.",haiku,outcome,
What does DNS do?,local,outcome,
"Critique this plan: cache invalidation by TTL only, on data that other services can mutate. When is that actually correct, and when is it quietly wrong?",haiku,outcome,
Convert 100 Fahrenheit to Celsius.,haiku,outcome,
Explain the difference between authentication and authorization with a concrete example.,local,outcome,
Design a leader election protocol for five nodes over an unreliable network. Explain how you avoid split brain and what assumptions you are relying on.,haiku,outcome,
What is the largest planet in the solar system?,local,outcome,
Implement a least-recently-used cache with O(1) get and put.,local,outcome,
"Explain the difference between at-least-once, at-most-once, and exactly-once delivery, and argue whether exactly-once is achievable end to end.",haiku,outcome,
List the days of the week in French.,local,outcome,
"What is the difference between a 301 and a 302 redirect, and when does it matter?",haiku,outcome,
"Given a service whose p99 latency is ten times its p50, walk through how you would find the cause, and explain what each hypothesis would predict.",haiku,outcome,
What is the boiling point of water at sea level?,local,outcome,
"Write a function that detects a cycle in a linked list, and explain the space complexity.",haiku,outcome,
Design a backfill for a corrupted derived table that must not double-count and must be resumable. Explain your correctness argument.,haiku,outcome,
Abbreviate 'representational state transfer'.,local,outcome,
"Explain what happens, step by step, when you type a URL into a browser and press enter.",local,outcome,
"Explain why a monotonic clock is required for measuring elapsed time, and describe a bug caused by using wall-clock time instead.",haiku,outcome,
What language is Redis written in?,haiku,outcome,
"Write a SQL query that finds duplicate rows by email, keeping the earliest by created_at.",haiku,outcome,
Design a feature flag system that can be evaluated client-side without leaking unreleased feature names. Justify the trade-off you make.,haiku,outcome,
When was the transistor invented?,haiku,outcome,
Describe the difference between optimistic and pessimistic locking.,local,outcome,
"Prove that any consistent hashing scheme with virtual nodes bounds the keys remapped on node removal, and state the bound.",haiku,outcome,
What is a palindrome?,local,outcome,
"Implement a rate limiter using a token bucket, and describe its burst behaviour.",haiku,outcome,
"Critique this approach to zero-downtime deploys: drain connections for 30 seconds, then hard-kill. Under what traffic shape does it drop requests?",haiku,outcome,
Give an example of a prime number over 100.,local,outcome,
"Explain what an index does to write performance, not just read performance.",haiku,outcome,
Design a multi-tenant rate limiter where one tenant's burst must not degrade another's latency. Explain your isolation mechanism.,haiku,outcome,
What does the acronym SQL stand for?,local,outcome,
Write a function that parses a CSV line containing quoted commas.,local,outcome,
"Explain what a write-ahead log buys you that fsync-on-write does not, and describe the failure it still cannot survive.",haiku,outcome,
Who founded the Linux kernel project?,local,outcome,
What is the difference between horizontal and vertical scaling? Give a case where vertical is the better choice.,local,outcome,
"Given a memory leak that only appears under production traffic, describe your diagnostic sequence and what each step would rule out.",haiku,outcome,
What is the chemical symbol for gold?,local,outcome,
Explain memoization and show it applied to a Fibonacci function.,local,outcome,
Design an audit log that is append-only and tamper-evident without a blockchain. Explain your integrity argument.,haiku,outcome,
How many bytes are in a kilobyte?,haiku,outcome,
Write a test that verifies a retry policy backs off exponentially.,haiku,outcome,
"Analyze whether a read-through cache or a write-through cache is safer for a system where reads vastly outnumber writes, and defend your answer.",haiku,outcome,
Name the four cardinal directions.,local,outcome,
Describe how garbage collection works in a generational collector.,haiku,outcome,
"```go
func Merge(chans []<-chan int) <-chan int {
	return nil
}
```
Implement fan-in for this signature, explain how you avoid a goroutine leak, and prove termination.",sonnet,outcome,
What is the plural of 'index'?,haiku,outcome,
Explain the CAP theorem and name a system that chooses each pair.,haiku,outcome,
"Explain why retries without jitter can synchronize clients into a thundering herd, and derive roughly how bad it gets with N clients.",haiku,outcome,
What does TCP stand for?,local,outcome,
Implement a function that returns the k most frequent elements in a list.,local,outcome,
Design a schema for hierarchical data that supports both 'all descendants' and 'all ancestors' queries efficiently. Compare two approaches.,haiku,outcome,
Translate 'thank you' into Japanese.,haiku,outcome,
What does 'eventually consistent' actually promise a client?,haiku,outcome,
"Critique the practice of using UUIDv4 as a clustered primary key at scale, then say when it is nonetheless the right choice.",haiku,outcome,
What is the capital of Kenya?,local,outcome,
Write a script that rotates log files older than seven days.,haiku,outcome,
"Explain the difference between a memory barrier and a compiler barrier, and give a concrete bug that needs each.",haiku,outcome,
Define latency in one sentence.,local,outcome,
Explain the difference between a semaphore and a mutex.,haiku,outcome,
Design a strategy for testing a distributed system's behaviour under partition without a full chaos-engineering platform.,local,outcome,
What is the speed of light in a vacuum?,local,outcome,
Implement a debounce function and explain where it differs from throttle.,haiku,outcome,
Who painted the Mona Lisa?,local,outcome,
Describe what a connection pool solves and how it can itself become a bottleneck.,local,outcome,
What is 2 to the power of 10?,local,outcome,
Write a query plan explanation for why a LIKE '%foo' cannot use a normal index.,haiku,outcome,
What is the currency of Norway?,local,outcome,
Explain what makes a hash function suitable for cryptography rather than for a hash table.,haiku,outcome,
Name a NoSQL database.,local,outcome,
Implement a function that merges two sorted iterators lazily.,haiku,outcome,
Explain what happens to an in-flight HTTP request when the server process receives SIGTERM.,haiku,outcome,
"Write a function that groups a list of records by a key and returns the counts, sorted descending.",local,outcome,
"Describe the difference between a symlink and a hard link, and when each breaks.",haiku,outcome,
Implement exponential backoff with jitter and explain why the jitter matters.,haiku,outcome,
Explain what an ORM's N+1 query problem is and show how you would detect it.,local,outcome,
"Write a function that safely parses a JSON body that may be malformed, and describe your error contract.",haiku,outcome,
"What is the difference between a container image layer and a container, and why does that matter for image size?",haiku,outcome,
Implement a function that chunks an iterable into batches of size n without loading it all into memory.,haiku,outcome,
"Explain how DNS resolution works end to end, including caching at each level.",haiku,outcome,
Write a query that computes a running total per customer ordered by date.,local,outcome,
Describe how you would migrate a column from nullable to non-null on a live table.,haiku,outcome,
Explain what a race condition is and give an example that a unit test would not catch.,haiku,outcome,
Implement a function that computes the Levenshtein distance between two strings.,local,outcome,
"Describe the difference between blue-green and canary deployment, and when each is preferable.",haiku,outcome,
"Explain what happens when a Kubernetes readiness probe fails, versus a liveness probe.",haiku,outcome,
Write a shell one-liner that finds the ten largest files under a directory.,local,outcome,
"```python
class RateLimiter:
    def allow(self, key: str, now: float) -> bool:
        ...
```
Implement a sliding-window rate limiter for this signature. Prove the window is exact rather than approximate, and give the memory bound per key.",haiku,outcome,
"```python
def lru_cache_with_ttl(capacity: int, ttl: float):
    ...
```
Implement this with O(1) get and put including expiry. Prove that an expired entry is never returned, and state what happens when capacity and expiry conflict.",haiku,outcome,
"```go
func Pipeline(ctx context.Context, in <-chan int) <-chan int {
	return nil
}
```
Implement a cancellable pipeline stage. Prove no goroutine outlives the context, and explain the exact ordering guarantee on close.",haiku,outcome,
"```python
def merge_intervals(intervals):
    ...
```
Implement this correctly for touching, nested, and zero-length intervals. Give the invariant your loop maintains and prove it holds at every step.",haiku,outcome,
"```sql
-- orders(id, customer_id, amount, created_at, status)
```
Write a query returning each customer's second-largest completed order, with no window functions. Prove it is correct when a customer has ties or fewer than two orders.",haiku,outcome,
"```go
type Semaphore struct{}
func (s *Semaphore) Acquire(ctx context.Context) error { return nil }
```
Implement a weighted semaphore honouring context cancellation. Prove a cancelled waiter cannot leave the count corrupted.",sonnet,outcome,
"```python
def binary_search_rotated(nums, target):
    ...
```
Implement search on a rotated sorted array with duplicates. Prove the worst case is O(n) rather than O(log n) and identify exactly which input forces it.",haiku,outcome,
"Derive the expected number of comparisons for randomized quickselect and prove it is linear, then show precisely where an argument that only bounds the recursion depth is insufficient.",haiku,outcome,
"```python
def debounce(fn, wait: float):
    ...
```
Implement a thread-safe debounce decorator. Prove that concurrent calls cannot schedule two overlapping invocations, and say what your lock does not protect.",haiku,outcome,
"Prove that a lock-free single-producer single-consumer ring buffer is correct with only acquire/release ordering, and identify the exact operation that would break under relaxed ordering.",haiku,outcome,
"```python
def parse_semver(text: str) -> tuple:
    ...
```
Implement a parser accepting prerelease and build metadata per the specification, rejecting malformed input. Give three inputs a naive regex would wrongly accept.",haiku,outcome,
"```go
func Retry(ctx context.Context, attempts int, f func() error) error {
	return nil
}
```
Implement retry with exponential backoff and jitter. Prove total elapsed time is bounded, and explain why the naive implementation can exceed the deadline.",haiku,outcome,
"Derive the false-positive rate of a counting Bloom filter with 4-bit counters, and prove where it diverges from the standard Bloom filter bound once counters saturate.",haiku,outcome,
"```python
def consistent_hash_ring(nodes, replicas: int):
    ...
```
Implement a consistent hash ring with virtual nodes. Prove the fraction of keys remapped when one node leaves, and state the assumption that proof depends on.",haiku,outcome,
"```python
def reservoir_sample(stream, k: int):
    ...
```
Implement reservoir sampling and prove every element ends up with probability exactly k/n, being explicit about the induction step.",haiku,outcome,
"```go
func WorkerPool(jobs <-chan Job, n int) <-chan Result {
	return nil
}
```
Implement a worker pool that propagates panics as errors without killing the pool. Prove no result is lost and no goroutine leaks.",haiku,outcome,
"```python
def median_of_two_sorted(a, b):
    ...
```
Implement this in O(log(min(m,n))). Prove your partition invariant, and give the edge case that breaks a solution which only handles equal-length inputs.",haiku,outcome,
